1581984000000,9706.00000000,9715.00000000,9624.70000000,9660.87000000,1523.95222000,1581987599999,14720910.00395827,21612,763.67698700,7375667.66006433,0
1581987600000,9660.83000000,9743.00000000,9660.83000000,9710.65000000,1972.55208200,1581991199999,19158272.77941798,25092,1072.54706300,10418415.75780388,0
1581991200000,9711.36000000,9759.00000000,9703.78000000,9714.29000000,1521.80200400,1581994799999,14815195.76671796,21158,802.37156000,7810677.82708719,0
1581994800000,9714.64000000,9745.92000000,9675.60000000,9724.82000000,1713.94698800,1581998399999,16638750.55127604,21717,959.28516600,9312583.55818875,0
1581998400000,9724.86000000,9800.00000000,9720.00000000,9800.00000000,2255.78409500,1582001999999,22035071.87433248,24517,1270.39778000,12413434.99420545,0
1582002000000,9799.98000000,9810.00000000,9768.01000000,9785.74000000,1857.39608800,1582005599999,18179520.68374144,20084,928.28776200,9085708.34968663,0
1582005600000,9785.80000000,9810.00000000,9750.00000000,9775.48000000,1955.40910800,1582009199999,19132147.40151929,21663,1032.17261300,10097936.41915298,0
1582009200000,9775.64000000,9815.00000000,9763.30000000,9790.58000000,1561.27868900,1582012799999,15288354.26736399,19229,918.87450600,8997986.40888647,0
1582012800000,9790.90000000,9794.99000000,9740.00000000,9741.61000000,1854.65122900,1582016399999,18121810.38407318,20945,859.18576200,8397040.81800313,0
1582016400000,9741.65000000,9749.91000000,9662.72000000,9694.15000000,3479.62834500,1582019999999,33771781.90678088,32957,1707.63868400,16573591.42686653,0
1582020000000,9694.15000000,9744.99000000,9631.00000000,9731.41000000,2939.25205700,1582023599999,28481087.32968359,27814,1715.55723300,16626630.19469628,0
1582023600000,9730.20000000,9756.97000000,9678.94000000,9702.27000000,2092.43026000,1582027199999,20322240.99650617,22333,967.49263500,9398229.76951800,0
1582027200000,9703.85000000,9704.58000000,9638.11000000,9656.92000000,2000.17302300,1582030799999,19348774.16991681,22900,977.76876200,9459290.23483923,0
1582030800000,9657.28000000,9669.85000000,9576.01000000,9627.27000000,3015.37882600,1582034399999,29023714.80210929,31547,1375.28268700,13240707.64555174,0
1582034400000,9627.30000000,9718.01000000,9627.30000000,9696.65000000,2030.15161800,1582037999999,19630990.64417052,22299,915.00661900,8844966.00144125,0
1582038000000,9696.66000000,9875.51000000,9695.74000000,9830.68000000,6591.73058600,1582041599999,64585836.71454834,58915,3668.99955300,35952682.27421689,0
1582041600000,9830.69000000,9924.42000000,9815.90000000,9918.91000000,4682.43109600,1582045199999,46238385.76991985,45201,2374.62464800,23449758.98052740,0
1582045200000,9919.76000000,9952.00000000,9877.35000000,9946.38000000,3976.54373100,1582048799999,39427845.12926125,35598,2285.99175500,22667379.60213915,0
1582048800000,9946.71000000,10048.00000000,9946.38000000,9985.73000000,5651.98768900,1582052399999,56523067.22126200,42855,3191.60868900,31915165.27892050,0
1582052400000,9987.16000000,10048.00000000,9973.00000000,10043.49000000,2489.12911000,1582055999999,24912007.69477683,24042,1260.09230900,12614818.58070948,0
1582056000000,10043.08000000,10163.00000000,10038.23000000,10155.01000000,4806.20257800,1582059599999,48578753.93778552,44831,2818.99226000,28498573.62814937,0
1582059600000,10156.22000000,10250.00000000,10036.72000000,10134.71000000,5798.78996500,1582063199999,58870861.16940864,60496,3009.99502800,30576161.98247147,0
1582063200000,10135.93000000,10174.54000000,10067.19000000,10168.26000000,2021.55712500,1582066799999,20454555.62846537,28801,1001.40938600,10134619.17901103,0
1582066800000,10168.89000000,10206.94000000,10136.64000000,10164.71000000,2811.96550700,1582070399999,28610185.98561227,26807,1426.73687900,14518150.07658860,0
